layers,atempt,train_loss,validation_loss,validation_test,generalisation_x2,generalisation_x4
1,0,"[3.2514168548583986, 3.130403869628906, 3.0979764862060546, 3.0866073279380797, 3.07727200961113, 3.0708814039230345, 3.062118298768997, 3.048174768924713, 3.040329885005951, 3.0373004858493804, 3.0343323662281034, 3.0323740594387054, 3.0306592674255373, 3.029274948835373, 3.028191293716431, 3.0280784714221953, 3.026503355264664, 3.0251351237297057, 3.024141104698181, 3.024339156627655, 3.023201163768768, 3.021922927618027, 3.0209409000873566, 3.019824306488037, 3.0195582258701323, 3.018729909181595, 3.0148384079933166, 3.0136959857940675, 3.012378442764282, 3.011732587814331, 3.011242938518524, 3.010782545566559, 3.009831814527512, 3.009475151062012, 3.010044981479645, 3.008323574781418, 3.008758709669113, 3.0084090576171874, 3.0090467221736907, 3.0076223707199095, 3.0074015560150147, 3.007050340414047, 3.006589636802673, 3.00740744304657, 3.0061075150966645, 3.006030250072479, 3.006258645296097, 3.0057470281124115, 3.0050967032909393, 3.00535652422905, 3.004630813121796, 3.00461830329895, 3.0046206469535828, 3.0033435645103457, 3.0044302291870117, 3.0035620868206023, 3.003189649105072, 3.0029102506637573, 3.0019778618812563, 3.0014820442199706, 3.0022770187854766, 3.0021938157081602, 3.0017413301467895, 3.001146648168564, 3.0014616034030914, 3.0010190529823304, 3.0015388309955595, 3.000204060792923, 2.999790343284607, 3.000123127937317, 2.9995323651895736]",2.9994147047257433,"(0.999, 0.987, 0.039)","(0.004, 0.0, 0.0)","(0.001, 0.0, 0.0)"
1,1,"[3.248278518676758, 3.1379422266483306, 3.108259462118149, 3.0928143439292906, 3.0634451031684877, 3.050784141778946, 3.0456832206249236, 3.0393851363658904, 3.0357472140789032, 3.033632108449936, 3.0312602643966673, 3.0287905390262604, 3.0271311061382296, 3.0252995231151583, 3.0231801199913027, 3.0225391738414764, 3.0212526059150697, 3.0191485176086426, 3.0180406050682067, 3.017916278600693, 3.0166338829994204, 3.0154216203689574, 3.0149332752227784, 3.0149983475208284, 3.014484773874283, 3.01375022315979, 3.0129563977718354, 3.0116805114746095, 3.0110448212623595, 3.010889063119888, 3.0109880645275116, 3.0102775344848633, 3.009573574304581, 3.0093101456165314, 3.0097292923927306, 3.0081098868846894, 3.008067490339279, 3.0081302540302275, 3.0083802518844602, 3.0073437311649323, 3.007368419647217, 3.006570408821106, 3.0064442274570466, 3.0070545551776884, 3.0058347918987276, 3.0062980797290804, 3.006123377799988, 3.006145431280136, 3.005424011707306, 3.005813516616821, 3.00534135389328, 3.0052111840248106, 3.00536891579628, 3.0046210062503813, 3.0053082704544067, 3.004685177087784, 3.004038317680359, 3.0042288608551027, 3.0037903351783752, 3.0032568521499634, 3.0041123695373537, 3.0038923163414, 3.0033989791870117, 3.0032246069908144, 3.0035860767364504, 3.0030274460315702, 3.003616096973419, 3.002879398107529, 3.0030658404827117, 3.0033337807655336, 3.0023290006497416]",3.0022307712931373,"(0.998, 0.988, 0.044)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
1,2,"[3.2652645225524903, 3.1369180991649626, 3.097322318315506, 3.0810162851810454, 3.059702494621277, 3.0487218630313873, 3.0422036991119383, 3.038553798675537, 3.035592668533325, 3.0336857907772066, 3.031752367973328, 3.029424600362778, 3.028149183988571, 3.027773067474365, 3.025934231996536, 3.026246287584305, 3.0250327615737915, 3.0237310781478883, 3.0222812135219574, 3.0219306502342222, 3.020984923362732, 3.0204308698177336, 3.01947811794281, 3.0197329115867615, 3.019039857149124, 3.017814800024033, 3.015132824420929, 3.0140557138919832, 3.0127513661384584, 3.011906445503235, 3.011186574220657, 3.0105494511127473, 3.009909749507904, 3.0093997166156767, 3.0099353840351104, 3.0082759668827057, 3.0087743360996244, 3.0084259343147277, 3.0089202637672425, 3.007830514192581, 3.007740212917328, 3.0070818188190462, 3.0065631659030916, 3.007127981185913, 3.005890277147293, 3.006433974981308, 3.0062675375938417, 3.005957753896713, 3.005630381345749, 3.0061590070724487, 3.005198407411575, 3.004974287033081, 3.005514396905899, 3.0043554298877715, 3.0050318706035615, 3.0045150427818297, 3.0040183463096617, 3.00381773686409, 3.003529777288437, 3.002169696569443, 3.002848843336105, 3.002685862779617, 3.002229566335678, 3.0018485171794893, 3.001982746601105, 3.001311008214951, 3.0017579743862153, 3.001505271434784, 3.001035000562668, 3.001291465997696, 3.000213995528297]",3.0005183087471856,"(0.995, 0.99, 0.047)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
1,3,"[3.242722779035568, 3.125573392629623, 3.0995256288051607, 3.0838554782867433, 3.07158771276474, 3.065939404249191, 3.04939257979393, 3.040691119194031, 3.036725452661514, 3.034073451280594, 3.0318094537258147, 3.029585082769394, 3.0281583585739136, 3.026615725517273, 3.025462212562561, 3.0252780423164367, 3.0232484240531923, 3.0222946844100953, 3.0216263227462767, 3.022067217588425, 3.0210232870578766, 3.0200446255207063, 3.0195123572349547, 3.0192751357555387, 3.0188629648685454, 3.0189830870628356, 3.017952100753784, 3.017512088775635, 3.0140907430648802, 3.0129262034893034, 3.012496024131775, 3.0122459774017334, 3.0112909977436066, 3.0113236541748045, 3.011493973016739, 3.010123478651047, 3.010506914615631, 3.0102204151153567, 3.0106513886451722, 3.009695744752884, 3.009417706489563, 3.008817538022995, 3.0086099531650543, 3.0092325706481935, 3.0083029708862306, 3.0086606450080873, 3.0085108222961425, 3.0071962065696716, 3.006668011665344, 3.007387151956558, 3.006585749387741, 3.0065391294956205, 3.0062997670173646, 3.0056796164512636, 3.00570592546463, 3.0047101094722746, 3.004297075510025, 3.004055359363556, 3.0035583159923553, 3.0028959238529205, 3.003441330909729, 3.0036694371700285, 3.003147284030914, 3.0028516073226927, 3.0025652015209197, 3.0024387242794037, 3.002469258785248, 3.001859727859497, 3.0021144585609436, 3.002757504701614, 3.0012229334432097]",3.0020533905861764,"(0.996, 0.991, 0.035)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
1,4,"[3.277780510663986, 3.1528806200027466, 3.1083678801059724, 3.0872426888942717, 3.0805725049972534, 3.0752795696258546, 3.0725339617729186, 3.071294743299484, 3.068637286901474, 3.0669963631629944, 3.0648405606746674, 3.0644363939762114, 3.0636303467750547, 3.0631389050483704, 3.0621600306034087, 3.0621438963413237, 3.0608685185909272, 3.0608077561855316, 3.059936140060425, 3.0606608221530913, 3.0600299649238587, 3.0593268260955813, 3.0590845625400545, 3.0591824579238893, 3.0594576964378355, 3.059348832130432, 3.0584710018634795, 3.057950177192688, 3.057980447769165, 3.0575910820960996, 3.057240556001663, 3.057254499912262, 3.0565082840919495, 3.0559453670978547, 3.056106119632721, 3.054838940620422, 3.05532502746582, 3.0547489938735963, 3.05525928902626, 3.054744812488556, 3.0548659763336183, 3.0540234537124635, 3.0539807591438293, 3.053738293170929, 3.052753615617752, 3.0535571746826173, 3.0537358145713807, 3.053407055139542, 3.0532818298339843, 3.054028613090515, 3.0533136036396025, 3.0514144914150236, 3.0514559795856475, 3.0501750755310058, 3.051516113996506, 3.049508144617081, 3.0484043033123016, 3.047784698486328, 3.047079264163971, 3.0455398437976835, 3.04662744140625, 3.0438401253223417, 3.0419459233283996, 3.0397661950588226, 3.0379177448749544, 3.0365548207759856, 3.036175485372543, 3.0343360595703124, 3.0329110887050628, 3.0330593101978303, 3.0309535581082963]",3.0289985271814186,"(0.981, 0.965, 0.033)","(0.001, 0.0, 0.0)","(0.0, 0.0, 0.0)"
2,0,"[3.256928430557251, 3.1238537871837617, 3.0711502895355225, 3.0518516087532044, 3.0427938656806948, 3.038154707431793, 3.0320408205986022, 3.0284156959056854, 3.0245748488903046, 3.022712720632553, 3.0208565945625305, 3.0186575412750245, 3.0171740536689757, 3.015838395357132, 3.0148869791030886, 3.014599608421326, 3.0134951810836794, 3.0118864727020265, 3.0027220330238342, 2.9902760162353514, 2.9811337773799895, 2.954980870723724, 2.942077224254608, 2.938609049081802, 2.9364156353473665, 2.932736960411072, 2.929749412059784, 2.925292922973633, 2.9224568288326265, 2.918286980390549, 2.9129292805194855, 2.910014279603958, 2.9066306369304655, 2.904023849248886, 2.9014469542503356, 2.898237375020981, 2.8962635283470153, 2.8950123181343077, 2.8933793845176696, 2.890515091896057, 2.889758444070816, 2.88811376786232, 2.885995113134384, 2.8847743830680845, 2.884488844156265, 2.8831399993896483, 2.881626985311508, 2.880677481889725, 2.8791921312808992, 2.8782849678993223, 2.8774510147571566, 2.8760511326789855, 2.876328609228134, 2.874594242334366, 2.873697518825531, 2.873381992816925, 2.872461706161499, 2.86977108836174, 2.8678073086738585, 2.8681864874362946, 2.8671749320030213, 2.8660355279445646, 2.865730390548706, 2.864001811027527, 2.863421382665634, 2.862607100725174, 2.861702001094818, 2.859427570581436, 2.8591779456138613, 2.8580871691703797, 2.8562700976959814]",2.856518574748472,"(0.979, 0.964, 0.294)","(0.03, 0.028, 0.0)","(0.026, 0.025, 0.0)"
2,1,"[3.2368220107555388, 3.1087269229888914, 3.0684537928104403, 3.053299208402634, 3.043615343093872, 3.039240472316742, 3.033256481409073, 3.0304943072795867, 3.0275259413719176, 3.024966134786606, 3.0226814353466036, 3.019898111820221, 3.018303859949112, 3.017458545923233, 3.016364837884903, 3.0158365995883942, 3.015085183143616, 3.01386390042305, 3.012940047502518, 3.0119942009449003, 3.0108511202335357, 3.0100503017902374, 3.009240467071533, 3.0092936120033262, 3.0090452406406403, 3.0087227544784545, 3.0078289177417754, 3.007191243171692, 3.0059829919338226, 3.0058120007514955, 3.005413130760193, 3.004778429746628, 3.003161870718002, 2.991450578927994, 2.9776811800003053, 2.969396186351776, 2.9377481803894043, 2.9348552718162537, 2.9337131962776186, 2.9306051795482637, 2.9285408923625944, 2.926834971189499, 2.925178947210312, 2.923703174114227, 2.919706843137741, 2.9169907324314117, 2.9141760745048524, 2.911973808050156, 2.908676293849945, 2.906686191320419, 2.904300807476044, 2.9016382250785826, 2.901270307064056, 2.897907968997955, 2.896168874025345, 2.894008474111557, 2.8922362763881684, 2.8888047595024107, 2.88675870347023, 2.885747368335724, 2.884173260450363, 2.8831187388896944, 2.882345954418182, 2.880428634643555, 2.8795494413375855, 2.87842383313179, 2.877255990982056, 2.874341628074646, 2.8736521799564363, 2.8722784025669097, 2.8705666446076417]",2.870891543062094,"(0.993, 0.985, 0.231)","(0.057, 0.051, 0.0)","(0.013, 0.012, 0.0)"
2,2,"[3.261794184207916, 3.1645110194683075, 3.1108991663455963, 3.051426204919815, 3.043226104259491, 3.036555340051651, 3.032455680847168, 3.0294583904743195, 3.0272994403839113, 3.0256788940429686, 3.024066188097, 3.0218440129756927, 3.0197708268165586, 3.0160416095256806, 3.0110457243919373, 3.0006708483695985, 2.978635284662247, 2.956276736497879, 2.951757320165634, 2.9495547506809237, 2.945533461093903, 2.9431329395771026, 2.9404830853939057, 2.937557502269745, 2.9351400752067565, 2.9313717896938325, 2.9272437672615053, 2.9235758080482483, 2.9202621359825134, 2.918993211269379, 2.9158047425746916, 2.914158972263336, 2.911896430015564, 2.9093402042388914, 2.9071326825618744, 2.903448668718338, 2.9011529297828673, 2.899885340690613, 2.898158662557602, 2.8945978112220763, 2.8929022262096407, 2.8909334270954132, 2.8887421934604647, 2.887188920736313, 2.885233293056488, 2.8841967055797575, 2.880847252845764, 2.878337437391281, 2.875669925689697, 2.875286779165268, 2.8733966002464295, 2.8719814438819884, 2.871722122192383, 2.869240861415863, 2.8672732961177827, 2.866181380033493, 2.864808560848236, 2.863357194185257, 2.8619067537784577, 2.8610510213375093, 2.8596551003456114, 2.8581581783294676, 2.8573585462570192, 2.855871344804764, 2.854625566482544, 2.8532780582904818, 2.8516635749340056, 2.8497506575584413, 2.849758996486664, 2.8480514409542086, 2.847057451455357]",2.846513093364661,"(0.991, 0.974, 0.281)","(0.036, 0.033, 0.0)","(0.041, 0.039, 0.0)"
2,3,"[3.259232566833496, 3.1130709075927734, 3.0729633774757383, 3.0639543204307556, 3.0570861763954165, 3.0508483901023866, 3.0476016478538512, 3.0459010004997253, 3.042805352687836, 3.040941736459732, 3.037803318977356, 3.036695806980133, 3.035567539215088, 3.034281644821167, 3.0343125159740447, 3.0339070391654968, 3.0214849562644956, 3.0109581227302553, 3.0052231011390687, 3.0020119698047636, 2.977408900022507, 2.9606903669834135, 2.9447048444747925, 2.940394476175308, 2.936291503429413, 2.9307649173736574, 2.9267665302753447, 2.9227344036102294, 2.9190979681015015, 2.917701582431793, 2.914319207429886, 2.9120219581127165, 2.908882169961929, 2.9057252316474913, 2.9026870114803316, 2.899496508836746, 2.8968023755550383, 2.8936228227615355, 2.8909233305454256, 2.8879874889850616, 2.8860408651828764, 2.8840745351314543, 2.8818285946846007, 2.880022957801819, 2.878958645582199, 2.877965831041336, 2.8759577350616454, 2.875504268169403, 2.8737839460372925, 2.8729676134586333, 2.8723237295150756, 2.870651633501053, 2.8699462676048277, 2.8689072721004485, 2.8672997756004333, 2.8661226909160615, 2.863956990480423, 2.8618268806934357, 2.860608344554901, 2.860448051214218, 2.858738518238068, 2.857083876848221, 2.8562175908088685, 2.8547144634723662, 2.853635621070862, 2.8514943957328795, 2.850177636384964, 2.8482457139492037, 2.8473525569438936, 2.8463911290168764, 2.8456748400252465]",2.8456365839095086,"(0.982, 0.972, 0.229)","(0.061, 0.06, 0.001)","(0.088, 0.088, 0.0)"
2,4,"[3.2265360832214354, 3.1046898963451386, 3.0872373883724213, 3.073733228445053, 3.0646785318851473, 3.0609104521274566, 3.057792310476303, 3.056528828382492, 3.053031245470047, 3.045378034353256, 3.0197628448009493, 3.010919379234314, 3.002204941749573, 2.9768384795188902, 2.9610325825214385, 2.9568067290782927, 2.9534355363845823, 2.950131024360657, 2.9480183856487274, 2.9459302380084993, 2.940101255655289, 2.936461232662201, 2.934701897382736, 2.9317313501834867, 2.9293467314243316, 2.9262345979213715, 2.922584754228592, 2.9183265483379364, 2.91591228890419, 2.9135928208827973, 2.911415365219116, 2.9090533277988433, 2.9064010450839994, 2.903982244729996, 2.9019615421295164, 2.8995210781097414, 2.897770013809204, 2.8962125697135925, 2.8954438433647156, 2.8923941884040834, 2.8912471487522127, 2.8895862848758695, 2.888596574306488, 2.886485202074051, 2.885105291843414, 2.880463394880295, 2.8764336421489713, 2.875304982423782, 2.873707628965378, 2.8732874932289123, 2.872314745426178, 2.871036227941513, 2.8705552353858947, 2.8692770602703095, 2.8677531564235688, 2.8669373145103454, 2.866215452194214, 2.864838913679123, 2.863373071908951, 2.8623082761764524, 2.8616201660633087, 2.8599582190513613, 2.8598786103725433, 2.85839661860466, 2.858013263940811, 2.856406953573227, 2.855577515602112, 2.8542382497787475, 2.8544039635658263, 2.8531639132499693, 2.852198326549591]",2.8528428908027914,"(0.996, 0.985, 0.272)","(0.064, 0.06, 0.001)","(0.026, 0.026, 0.0)"
3,0,"[3.2870058915615084, 3.1465248210430143, 3.094019067525864, 3.0819023735523223, 3.0747970640659332, 3.0687980008125306, 3.0644133524894714, 3.0620718109607696, 3.0492374393939974, 3.04181241607666, 3.036678603172302, 3.0331192035675048, 3.0308811495304107, 3.0276220438480377, 3.024286080121994, 3.0221819839477537, 3.012671110868454, 2.998778522491455, 2.990001624584198, 2.9850794372558593, 2.980481392145157, 2.963106418609619, 2.943048690319061, 2.939446970701218, 2.935590826034546, 2.930164261817932, 2.927130749940872, 2.9241615149974822, 2.9216048922538755, 2.9211692667007445, 2.918026109457016, 2.915392775297165, 2.9135295495986937, 2.9119802942276003, 2.9103003714084625, 2.90693616771698, 2.905132444858551, 2.9022546768188477, 2.897557194948196, 2.8935982694625855, 2.8906479003429415, 2.8879496681690218, 2.885987020730972, 2.8836881465911866, 2.8819586205482484, 2.8814261536598207, 2.8800975954532624, 2.878516438484192, 2.875725915193558, 2.8749787273406984, 2.8736906213760376, 2.8725022435188294, 2.871807657003403, 2.8698394284248354, 2.8688579437732695, 2.868189414739609, 2.8671682674884797, 2.8659014451503753, 2.865086609840393, 2.8636010715961455, 2.8625648205280303, 2.8615013825893403, 2.860470781803131, 2.8588044924736025, 2.8580235617160796, 2.857459848165512, 2.8562961797714235, 2.854655737876892, 2.854819137096405, 2.8538445246219637, 2.852199245946476]",2.853013430242271,"(0.992, 0.989, 0.23)","(0.064, 0.063, 0.0)","(0.085, 0.078, 0.0)"
3,1,"[3.285404619693756, 3.1270747010707853, 3.0965699706077574, 3.084810417175293, 3.079155492067337, 3.0762913076877596, 3.070132092475891, 3.069046653985977, 3.067985369682312, 3.067306669473648, 3.065350903749466, 3.0640732402801514, 3.063674366950989, 3.062410522222519, 3.062176181793213, 3.0615208988189697, 3.060281129837036, 3.0604859273433687, 3.060318268537521, 3.0617184686660766, 3.060487797498703, 3.059291463851929, 3.0596531624794006, 3.0593014516830443, 3.05832417178154, 3.0582007722854616, 3.05719629240036, 3.055308271408081, 3.0491510660648347, 3.0385438871383665, 3.0332287950515746, 3.027603685617447, 3.021911378622055, 3.017387054681778, 3.014995037794113, 2.9971769597530367, 2.98000562787056, 2.975897094011307, 2.9734156260490416, 2.9702480301856995, 2.9669025473594663, 2.9637756717205046, 2.960800225019455, 2.95366398191452, 2.948015060663223, 2.9463170149326325, 2.9443968365192412, 2.9424383249282835, 2.9391569797992707, 2.9383666763305665, 2.9364700417518614, 2.9299633135795595, 2.92242702126503, 2.918849275827408, 2.916454433441162, 2.914115961551666, 2.9128031780719756, 2.910895305156708, 2.908528010368347, 2.9075967016220092, 2.9066608772277833, 2.9054364471435545, 2.9039476308822634, 2.9026225712299345, 2.9023394410610197, 2.901257495880127, 2.900376643419266, 2.8760435349941256, 2.8613607413768767, 2.858663650512695, 2.8571252906665254]",2.855753434508463,"(0.967, 0.952, 0.285)","(0.021, 0.02, 0.001)","(0.032, 0.031, 0.0)"
3,2,"[3.2108137862682344, 3.134098567724228, 3.0923581120967865, 3.0820018079280853, 3.074788603782654, 3.0696128370761873, 3.0561137993335725, 3.0431735284328463, 3.035596839427948, 3.032820034980774, 3.029675060749054, 3.025666502714157, 3.0237940406799315, 3.0221619076728823, 3.021186257123947, 3.0204393281936643, 3.018227437257767, 3.016604688167572, 3.0160013365745546, 3.016520971775055, 3.0145270459651945, 3.013715905666351, 3.012275391101837, 3.0121877641677854, 3.0104100096225737, 3.009393043756485, 3.007828221321106, 3.0061376135349276, 3.002438112974167, 3.00081138253212, 2.9907446644306184, 2.978156774997711, 2.9725139944553374, 2.9694889430999756, 2.9673404083251955, 2.9344991660118103, 2.9307787115573882, 2.9283006088733674, 2.926818253993988, 2.9232294096946716, 2.9213851432800295, 2.919180390357971, 2.916082254886627, 2.9139848294258117, 2.9115213305950163, 2.910331836938858, 2.9085242342948914, 2.9025589904785156, 2.8984759707450864, 2.8959630308151243, 2.89464329123497, 2.8922150683403016, 2.8924171316623686, 2.8887857172489166, 2.8876263868808745, 2.886679661035538, 2.8855121233463286, 2.883883608341217, 2.882603605031967, 2.881303784608841, 2.881110210418701, 2.880320089817047, 2.8795225262641906, 2.877336347103119, 2.87647724032402, 2.8751189382076263, 2.8748366258144378, 2.8726124856472017, 2.8722151093482973, 2.871592400074005, 2.8698909823506025]",2.8706970748562033,"(0.981, 0.979, 0.223)","(0.062, 0.062, 0.003)","(0.011, 0.01, 0.0)"
3,3,"[3.230138824224472, 3.1314127261638642, 3.095005888223648, 3.0808545048236846, 3.07518159866333, 3.060826135635376, 3.046073113441467, 3.043209138393402, 3.036818695306778, 3.032728164196014, 3.0304999482631683, 3.028682558298111, 3.026814326286316, 3.0237025573253633, 3.0208679049015044, 3.018963829755783, 3.015434476852417, 3.0113364953994752, 3.006393877744675, 2.994784741163254, 2.986925083875656, 2.953917043924332, 2.9461579699516296, 2.943410781621933, 2.9414761648178103, 2.9394135236740113, 2.9361235959529877, 2.9333146011829374, 2.929750283956528, 2.928026222705841, 2.922569232225418, 2.9190268769264223, 2.91450426530838, 2.911538835287094, 2.908212107419968, 2.903860829114914, 2.901054255962372, 2.89924002122879, 2.8977030818462373, 2.8940845255851744, 2.892369823932648, 2.890799373149872, 2.8863631246089936, 2.8813596041202545, 2.8787432260513306, 2.876746485710144, 2.8752485857009886, 2.8730928919315337, 2.8708770806789397, 2.8697569177150726, 2.868335480451584, 2.8659580130577087, 2.8643805701732634, 2.8627884149551392, 2.8610856194496153, 2.859996948719025, 2.858141713142395, 2.8569137041568755, 2.855565272331238, 2.855048946619034, 2.8530602960586546, 2.852161103963852, 2.8513147876262663, 2.849661909818649, 2.849288386583328, 2.847900213718414, 2.8467831888198853, 2.8448745884895326, 2.844936666250229, 2.8432053616046904, 2.842219268932891]",2.8416434958087,"(0.971, 0.967, 0.252)","(0.021, 0.02, 0.0)","(0.035, 0.033, 0.0)"
3,4,"[3.248978874206543, 3.1257369034290314, 3.085233599662781, 3.0759878869056703, 3.07350829744339, 3.0729386014938354, 3.071523562669754, 3.069843506574631, 3.0630433328151705, 3.0482500586509707, 3.0368295261859894, 3.0316444213390352, 3.028187979221344, 3.01727432012558, 3.0112907202243804, 3.007212956905365, 3.0013603258132933, 2.9797589781284333, 2.9616917934417724, 2.9565911202430724, 2.9504418528079985, 2.946525780439377, 2.9433756380081175, 2.9409039924144746, 2.938785602092743, 2.9366795995235444, 2.9330521988868714, 2.93009139251709, 2.924537708044052, 2.9202016773223876, 2.9163322279453276, 2.9132749547958374, 2.910556403398514, 2.908678811788559, 2.9062537157535555, 2.9036266295909883, 2.9021106355190276, 2.900110065460205, 2.898273019075394, 2.894466228723526, 2.8927946133613585, 2.890835086107254, 2.8882276952266692, 2.885304351806641, 2.8818000264167787, 2.8778899397850037, 2.8759043488502503, 2.8743265423774718, 2.8716557190418244, 2.871226410150528, 2.870073353290558, 2.8683440635204316, 2.8677118203639984, 2.866261987447739, 2.8643555479049683, 2.864036593437195, 2.861722199201584, 2.8595758917331695, 2.8575703587532044, 2.857099528551102, 2.85603194975853, 2.854618406534195, 2.8544128930568693, 2.8527571852207183, 2.8517923510074614, 2.8510741505622863, 2.850167822599411, 2.848844131231308, 2.848860448360443, 2.847855527162552, 2.847891703962137]",2.847442571140047,"(0.99, 0.986, 0.262)","(0.036, 0.034, 0.0)","(0.023, 0.022, 0.0)"
4,0,"[3.228289265394211, 3.113975925922394, 3.0942489466667173, 3.081537078857422, 3.0745594592094423, 3.06842156457901, 3.066058339357376, 3.065935165643692, 3.0618237960338592, 3.0608943822383883, 3.0594972875118254, 3.0604769735336306, 3.058500764131546, 3.058751984357834, 3.0590242409706114, 3.060356962442398, 3.05898042678833, 3.0566173243522643, 3.0564465215206145, 3.057390107154846, 3.05590331864357, 3.055013519048691, 3.0539528403282166, 3.0541371591091155, 3.0544407906532287, 3.053994030952454, 3.0458158569335936, 3.0352034091949465, 3.0321833868026733, 3.032529092788696, 3.0292949492931367, 3.0286584355831145, 3.0269688441753386, 3.026123735189438, 3.026619448184967, 3.025054874897003, 3.0251244163513182, 3.0249250028133394, 3.025276344537735, 3.023157734632492, 3.0235588846206665, 3.0217742998600006, 3.022257054567337, 3.02211611199379, 3.0242921328544616, 3.0226043148040773, 3.0223786420822143, 3.0213443117141723, 3.020495719432831, 3.0212286455631254, 3.020439689874649, 3.020394819021225, 3.0205839388370515, 3.0196577508449556, 3.021215053796768, 3.019600634098053, 3.0190998673439027, 3.0197242028713225, 3.019082084417343, 3.018057631969452, 3.0187713294029237, 3.0184584770202636, 3.018262276649475, 3.017739008426666, 3.0180355710983275, 3.0179929337501528, 3.0194178459644316, 3.0176296100616455, 3.0168778359889985, 3.0110379779338836, 3.008756546166758]",3.0099831300616096,"(0.998, 0.987, 0.039)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
